date,close,symbol,name
2018-01-02,3711.3,sh600519,600519
2018-01-03,3771.64,sh600519,600519
2018-01-04,3878.22,sh600519,600519
2018-01-05,3884.7,sh600519,600519
2018-01-08,3953.89,sh600519,600519
2018-01-09,4106.6,sh600519,600519
2018-01-10,4122.63,sh600519,600519
2018-01-11,4067.86,sh600519,600519
2018-01-12,4136.24,sh600519,600519
2018-01-15,4120.92,sh600519,600519
2018-01-16,4058.46,sh600519,600519
2018-01-17,3932.79,sh600519,600519
2018-01-18,3946.91,sh600519,600519
2018-01-19,3944.1,sh600519,600519
2018-01-22,4061.98,sh600519,600519
2018-01-23,4062.68,sh600519,600519
2018-01-24,4015.85,sh600519,600519
2018-01-25,4039.47,sh600519,600519
2018-01-26,4079.97,sh600519,600519
2018-01-29,3874.45,sh600519,600519
2018-01-30,3903.39,sh600519,600519
2018-01-31,4016.25,sh600519,600519
2018-02-01,3982.03,sh600519,600519
2018-02-02,3894.95,sh600519,600519
2018-02-05,3783.55,sh600519,600519
2018-02-06,3736.47,sh600519,600519
2018-02-07,3608.69,sh600519,600519
2018-02-08,3696.93,sh600519,600519
2018-02-09,3608.69,sh600519,600519
2018-02-12,3679.29,sh600519,600519
2018-02-13,3752.15,sh600519,600519
2018-02-14,3784.66,sh600519,600519
2018-02-22,3905.25,sh600519,600519
2018-02-23,3905.4,sh600519,600519
2018-02-26,3910.58,sh600519,600519
2018-02-27,3882.79,sh600519,600519
2018-02-28,3820.69,sh600519,600519
2018-03-01,3902.84,sh600519,600519
2018-03-02,3874.9,sh600519,600519
2018-03-05,3793.0,sh600519,600519
2018-03-06,3783.7,sh600519,600519
2018-03-07,3742.4,sh600519,600519
2018-03-08,3806.32,sh600519,600519
2018-03-09,3833.65,sh600519,600519
2018-03-12,3812.29,sh600519,600519
2018-03-13,3743.96,sh600519,600519
2018-03-14,3827.02,sh600519,600519
2018-03-15,3925.45,sh600519,600519
2018-03-16,3892.19,sh600519,600519
2018-03-19,3960.68,sh600519,600519
2018-03-20,3931.78,sh600519,600519
2018-03-21,3902.99,sh600519,600519
2018-03-22,3823.0,sh600519,600519
